Wall time,Step,Value
1753728702.97742,0,1.1682008504867554
1753728703.144993,1,0.9790953993797302
1753728703.317791,2,0.9729102253913879
1753728703.482911,3,0.9695179462432861
1753728703.643024,4,0.9665865302085876
1753728703.796334,5,0.9720563888549805
1753728703.959194,6,0.9685744047164917
1753728704.114917,7,0.9693705439567566
1753728704.266202,8,0.9712464809417725
1753728704.424864,9,0.9673150777816772
1753728704.584535,10,0.9703502655029297
1753728704.745195,11,0.9746313691139221
1753728704.902677,12,0.970467746257782
1753728705.060917,13,0.9713799357414246
1753728705.221285,14,0.972775936126709
1753728705.392709,15,0.9689394235610962
1753728705.553914,16,0.966349184513092
1753728705.712882,17,0.9707414507865906
1753728705.875817,18,0.9702377319335938
1753728706.037464,19,0.9686082601547241
1753728706.200074,20,0.9702645540237427
1753728706.361065,21,0.9667692184448242
1753728706.518696,22,0.9661844968795776
1753728706.676402,23,0.970869779586792
1753728706.831933,24,0.9686257839202881
1753728706.993708,25,0.9713549017906189
1753728707.155309,26,0.969399094581604
1753728707.309037,27,0.9681869149208069
1753728707.459918,28,0.9720397591590881
1753728707.613069,29,0.971164345741272
1753728707.766942,30,0.9693840742111206
1753728707.927761,31,0.9668657183647156
1753728708.087715,32,0.9657721519470215
1753728708.250678,33,0.9673508405685425
1753728708.407406,34,0.9700239896774292
1753728708.568218,35,0.9688796401023865
1753728708.724065,36,0.964762806892395
1753728708.901525,37,0.9660423994064331
1753728709.063451,38,0.9699603915214539
1753728709.228611,39,0.9677979350090027
1753728709.389937,40,0.9679707288742065
1753728709.551356,41,0.9699417352676392
1753728709.706291,42,0.9645439982414246
1753728709.861263,43,0.9682217240333557
1753728710.018464,44,0.9694620370864868
1753728710.175501,45,0.9665774703025818
1753728710.331244,46,0.967091977596283
1753728710.491719,47,0.9697141051292419
1753728710.648783,48,0.9710515737533569
1753728710.809343,49,0.9708153009414673
1753728710.968729,50,0.968981921672821
1753728711.125939,51,0.9669009447097778
1753728711.285074,52,0.9681366086006165
1753728711.447591,53,0.9671535491943359
1753728711.608652,54,0.9666695594787598
1753728711.767295,55,0.9688112139701843
1753728711.927696,56,0.9679966568946838
1753728712.090537,57,0.9676622748374939
1753728712.249319,58,0.9672136902809143
1753728712.40836,59,0.9671456217765808
1753728712.570046,60,0.9649776816368103
1753728712.728669,61,0.9688066244125366
1753728712.887263,62,0.9685450792312622
1753728713.051707,63,0.9663397669792175
1753728713.211184,64,0.9664121866226196
1753728713.381949,65,0.9653260707855225
1753728713.538035,66,0.9653273224830627
1753728713.698108,67,0.9651941061019897
1753728713.856794,68,0.9652990102767944
1753728714.018385,69,0.965277373790741
1753728714.175141,70,0.9651886820793152
1753728714.337496,71,0.9651021957397461
1753728714.499163,72,0.9650933742523193
1753728714.658738,73,0.9649928212165833
1753728714.816882,74,0.9648906588554382
1753728714.977909,75,0.9647481441497803
1753728715.134766,76,0.9645864367485046
1753728715.29405,77,0.9644083380699158
1753728715.450771,78,0.9642303586006165
1753728715.611094,79,0.9640585780143738
1753728715.769818,80,0.963903546333313
1753728715.92639,81,0.9637512564659119
1753728716.079575,82,0.9635054469108582
1753728716.243124,83,0.9643739461898804
1753728716.399351,84,0.9635529518127441
1753728716.562007,85,0.963239312171936
1753728716.713441,86,0.9630365371704102
1753728716.871651,87,0.9635713696479797
1753728717.027974,88,0.9628327488899231
1753728717.181767,89,0.9640721082687378
1753728717.341608,90,0.9632289409637451
1753728717.495137,91,0.9633821845054626
1753728717.649669,92,0.9627192616462708
1753728717.811243,93,0.9626420736312866
1753728717.988762,94,0.9634725451469421
1753728718.148028,95,0.9628354907035828
1753728718.32388,96,0.96278977394104
1753728718.482247,97,0.9626644253730774
1753728718.639332,98,0.9632371068000793
1753728718.802662,99,0.9626337885856628
1753728718.969881,100,0.9626264572143555
1753728719.129648,101,0.9623801708221436
1753728719.289167,102,0.962459146976471
1753728719.449696,103,0.9631044268608093
1753728719.615319,104,0.9621398448944092
1753728719.779208,105,0.9629718661308289
1753728719.947688,106,0.9624296426773071
1753728720.112178,107,0.962099015712738
1753728720.276333,108,0.9625374674797058
1753728720.438066,109,0.9620314240455627
1753728720.596249,110,0.962722659111023
1753728720.748661,111,0.9620885848999023
1753728720.913591,112,0.9621756076812744
1753728721.079889,113,0.9620000720024109
1753728721.244891,114,0.9620932936668396
1753728721.416083,115,0.9620981216430664
1753728721.582478,116,0.9621863961219788
1753728721.742241,117,0.9619684815406799
1753728721.905823,118,0.9628127813339233
1753728722.065239,119,0.9623619318008423
1753728722.231574,120,0.9617745876312256
1753728722.403812,121,0.9621353149414062
1753728722.574586,122,0.9623351693153381
1753728722.741951,123,0.9626994729042053
1753728722.906523,124,0.9625784158706665
1753728723.074996,125,0.9620326161384583
1753728723.232299,126,0.9628837704658508
1753728723.407188,127,0.9620901942253113
1753728723.580302,128,0.9620311260223389
1753728723.746576,129,0.9626144766807556
1753728723.909694,130,0.9618170261383057
1753728724.071404,131,0.9619278907775879
1753728724.250038,132,0.9626460671424866
1753728724.416143,133,0.9620035290718079
1753728724.570776,134,0.9619519710540771
1753728724.721947,135,0.962560772895813
1753728724.87639,136,0.9623294472694397
1753728725.032879,137,0.9619077444076538
1753728725.200662,138,0.9626185894012451
1753728725.39744,139,0.9619529247283936
1753728725.568739,140,0.9617518186569214
1753728725.741595,141,0.9624152779579163
1753728725.925435,142,0.9619618654251099
1753728726.108719,143,0.961685836315155
1753728726.296305,144,0.9622694849967957
1753728726.483586,145,0.9617308974266052
1753728726.650147,146,0.9619406461715698
1753728726.813322,147,0.9623845219612122
1753728726.98247,148,0.9616203308105469
1753728727.151077,149,0.9616677165031433
